,user,text,favorite_count,retweet_count,created_at
0,elonmusk,🇬🇧 https://t.co/C74W6UbiiW,55468,7338,2025-08-31 08:57:38+00:00
1,elonmusk,"𝕏 is the media now

because 

You are the media now https://t.co/D3dDmYUKeE",30765,4686,2025-08-31 08:33:37+00:00
2,elonmusk,@TuckerCNews 💯,415,49,2025-08-31 08:28:45+00:00
3,elonmusk,𝕏 https://t.co/5NFjtfZTsF,3313,755,2025-08-31 08:12:08+00:00
4,elonmusk,The Labor Party goal is destruction of democracy by importing voters and bribing them with benefits paid for by British citizens https://t.co/mBBe3jXO2p,18668,3472,2025-08-31 08:09:58+00:00
5,elonmusk,Many https://t.co/gZDeIfVFSJ,13912,3134,2025-08-31 07:55:44+00:00
6,elonmusk,Absolutely https://t.co/DhwxS1HVc1,20586,2896,2025-08-31 07:55:22+00:00
7,elonmusk,@TheAliceSmith They are importing voters,1508,132,2025-08-31 07:29:05+00:00
8,elonmusk,🎯 https://t.co/XUsPLDZ8wK,7847,1107,2025-08-31 07:28:52+00:00
9,elonmusk,𝕏 is the top source of news on Earth! https://t.co/ZATqQmYqR7,22371,3384,2025-08-31 06:53:22+00:00
10,elonmusk,Top source of news in America https://t.co/PlkDJv4ygP,18116,2767,2025-08-31 05:57:29+00:00
11,elonmusk,@MikeBenzCyber Wow,1194,77,2025-08-31 05:49:22+00:00
12,elonmusk,🤨 https://t.co/QCR28beV9g,55162,11515,2025-08-31 01:21:26+00:00
13,elonmusk,💯 https://t.co/bhTK7UqKoy,28365,3647,2025-08-31 00:51:20+00:00
14,elonmusk,Yes https://t.co/DUwa3RWbwA,169524,20581,2025-08-31 00:26:50+00:00
15,elonmusk,Either Germany votes @AfD or it is the end of Germany https://t.co/Ix58V4USrn,47944,8524,2025-08-31 00:20:14+00:00
16,elonmusk,RAGE https://t.co/9d2fgNkcBd,74892,13289,2025-08-31 00:16:50+00:00
17,elonmusk,Wise words https://t.co/GeWJI50yMk,38417,8832,2025-08-31 00:15:40+00:00
18,elonmusk,@matt_vanswol Insane,2015,140,2025-08-31 00:11:16+00:00
19,elonmusk,Yes https://t.co/WqAe2hnHNk,18802,2930,2025-08-30 23:30:24+00:00
20,elonmusk,Every village in Britain will become Epping unless the people of Britain take action now https://t.co/XpNDGJWx3O,33995,7458,2025-08-30 21:55:51+00:00
21,elonmusk,@Mick_O_Keeffe Yes,755,60,2025-08-30 21:54:13+00:00
22,elonmusk,It’s now or never 🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/yNfsfD2Y1E,52861,6781,2025-08-30 21:51:53+00:00
23,elonmusk,"@DimaZeniuk Stainless steel is an amazing material. 

Can also just weld on attachments easily.",919,94,2025-08-30 21:50:45+00:00
24,elonmusk,@Fatima_Khatun01 300??,969,162,2025-08-30 21:48:59+00:00
25,elonmusk,Including the police and judges who deliberately let such evil go free,8773,1098,2025-08-30 21:44:27+00:00
26,elonmusk,"There are no words for such a horror …

The so-called “authorities” who knew this was happening need to go to prison for life. https://t.co/h8KNjeMPS6",48079,13619,2025-08-30 21:42:35+00:00
27,elonmusk,@NickTenconi 🔥🔥,416,34,2025-08-30 21:39:28+00:00
28,elonmusk,Everyone should read Gad’s books https://t.co/smsdhziuV3,24220,2505,2025-08-30 21:37:34+00:00
29,elonmusk,Try Grok Code! https://t.co/F2kWfCLmAu,8186,1354,2025-08-30 21:36:13+00:00
30,elonmusk,🇬🇧 https://t.co/j2mCUASti6,15742,1998,2025-08-30 21:35:09+00:00
31,elonmusk,@YouGotHimNow @SeibtNaomi 💯,280,19,2025-08-30 21:33:26+00:00
32,elonmusk,"@bindureddy Not allegedly. He downloaded the entire xAI code repo, the logs prove he did it and he admitted he did it!",3550,269,2025-08-30 21:30:02+00:00
33,elonmusk,@RestoreBritain_ Yes,811,65,2025-08-30 21:27:59+00:00
34,elonmusk,"History will call this:

 “The Rape of Europe” https://t.co/0wzm3hM1Z2",89881,20728,2025-08-30 17:33:19+00:00
35,elonmusk,"@Suffragent_ Rape-of-Britain apologists should be condemned in the strongest possible terms, whether they are young or old, man or woman. 

Shame them.

End of story.",2512,311,2025-08-30 17:32:12+00:00
36,elonmusk,“Just following orders” is not an acceptable defense https://t.co/e6M3SiKvU0,70392,13050,2025-08-30 17:30:24+00:00
37,elonmusk,@Suffragent_ He’s a despicable traitor and rape-of-Britain apologist,2561,315,2025-08-30 17:24:35+00:00
38,elonmusk,@antmiddleton High time for action,2519,200,2025-08-30 17:21:33+00:00
39,elonmusk,@SethDillon Bravo!,1121,92,2025-08-30 17:21:03+00:00
40,elonmusk,@GenFlynn @Keir_Starmer True,1217,79,2025-08-30 17:18:29+00:00
41,elonmusk,@DreaLeePower Terrible,688,59,2025-08-30 16:05:33+00:00
42,elonmusk,"Unless the birth rate at least gets back to replacement rate, Europe will die out https://t.co/0COU5Zj9QM",37887,5661,2025-08-30 16:02:35+00:00
43,elonmusk,For England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/BbBBEoca6O,37232,4150,2025-08-30 11:53:28+00:00
44,elonmusk,@Jenny_1884 Yes,2952,118,2025-08-30 11:50:33+00:00
45,elonmusk,@TheAliceSmith True,624,52,2025-08-30 11:49:29+00:00
46,elonmusk,Without question https://t.co/NPJC7Ise2W,88696,10944,2025-08-30 11:45:42+00:00
47,elonmusk,❤️🇬🇧 https://t.co/lIAZZBNz1G,215577,22936,2025-08-30 10:07:49+00:00
48,elonmusk,@JessePeltan Exactly,638,49,2025-08-30 09:36:41+00:00
49,elonmusk,And pay for them too … https://t.co/RpEtXMHZ63,46487,6995,2025-08-30 09:34:55+00:00
50,elonmusk,At least https://t.co/LcTNWJf5n3,45124,5586,2025-08-30 09:25:39+00:00
51,elonmusk,@SenJohnKennedy 💯,1086,83,2025-08-30 09:23:43+00:00
52,elonmusk,@KrahMax 💯,359,25,2025-08-30 09:17:34+00:00
53,elonmusk,@NickBuckleyMBE Yes,352,29,2025-08-30 09:15:52+00:00
54,elonmusk,@PrabhdeepReform 🇬🇧,2790,89,2025-08-30 09:15:24+00:00
55,elonmusk,Exactly https://t.co/SU8cXQrp7T,4978,916,2025-08-30 09:13:15+00:00
56,elonmusk,@Basil_TGMD Fight or die is what it comes down to,1495,141,2025-08-30 08:48:47+00:00
57,elonmusk,I don’t even know what to say anymore https://t.co/j9OXFZWc4X,324333,67012,2025-08-30 08:47:13+00:00
58,elonmusk,"The nightmare happening to Epping and hundreds of other towns in Britain and Ireland will come to your town too, unless it is stopped by the people https://t.co/WAf8b67TCR",69390,15397,2025-08-30 08:44:15+00:00
59,elonmusk,@cb_doge They are complicit in the outcome,1061,95,2025-08-30 08:34:18+00:00
60,elonmusk,Unconscionable https://t.co/TJDTM0k3LG,116987,30948,2025-08-30 08:32:37+00:00
61,elonmusk,Join Advance to save Britain 🇬🇧 https://t.co/apx05kyuOs,49359,6732,2025-08-30 08:30:02+00:00
62,elonmusk,@EuropaWatch_ @Basil_TGMD Reform is weak sauce,486,60,2025-08-30 08:29:24+00:00
63,elonmusk,@TheCaptainEli Yes,434,48,2025-08-30 08:28:34+00:00
64,elonmusk,Good https://t.co/NHbCPAcCco,120026,12147,2025-08-30 08:25:13+00:00
65,elonmusk,A government against its people is illegitimate https://t.co/41C0KxSvza,55428,6354,2025-08-30 08:24:20+00:00
66,elonmusk,Consider how many went unreported https://t.co/uU7DSdpAjy,30234,5979,2025-08-30 08:22:54+00:00
67,elonmusk,Grok @xAI https://t.co/5W6c9iolsa,4613,834,2025-08-30 08:13:01+00:00
68,elonmusk,That is an objective fact https://t.co/EfZPsCuIkz,24277,2524,2025-08-30 08:11:01+00:00
69,elonmusk,@Harry_pitt Treasonous judges,639,76,2025-08-30 08:09:58+00:00
70,elonmusk,The rape of Britain https://t.co/ZQLSRZccsA,110504,13779,2025-08-30 08:09:03+00:00
71,elonmusk,Intolerable! Shame on those judges. https://t.co/bzlpBL677v,49846,11462,2025-08-30 08:07:22+00:00
72,elonmusk,@TRobinsonNewEra What is going on?,2075,203,2025-08-30 08:04:52+00:00
73,elonmusk,@libsoftiktok Wow,2062,123,2025-08-30 08:03:58+00:00
74,elonmusk,@GigaBasedDad 😂,495,41,2025-08-30 08:03:14+00:00
75,elonmusk,@TooWhiteToTweet wtf,1581,88,2025-08-30 07:54:13+00:00
76,elonmusk,@techdevnotes Adjusting,259,24,2025-08-30 07:47:00+00:00
77,elonmusk,Now try https://t.co/snrsV9nXYb 😂 https://t.co/P4QkHpBYMg,23115,1738,2025-08-30 07:45:13+00:00
78,elonmusk,@teslaownersSV It is already a massive holocaust for humanity in that the population of humans will drop by billions,656,91,2025-08-30 07:40:08+00:00
79,elonmusk,Long press on any image to turn it into a video in 17 seconds with @Grok https://t.co/cbK8tnNfGk,23817,4018,2025-08-30 07:38:21+00:00
80,elonmusk,@dvorahfr https://t.co/OFQKF0d0Km,1310,198,2025-08-30 07:36:35+00:00
81,elonmusk,🎯 https://t.co/zQtVlHwJB0,166967,33636,2025-08-30 07:17:23+00:00
82,elonmusk,People don’t get it https://t.co/r1AmmOlso2,77904,7548,2025-08-30 07:16:24+00:00
